cod_parlamentario,name,deputy_photo,hemiciclo_image,facebook,instagram,twitter,website,url
29,Antidio Fagúndez Campo,True,True,,,https://twitter.com/antidiof,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=29&idLegislatura=XV&mostrarAgenda=false
30,Silvia Franco González,True,True,https://www.facebook.com/silvia.francogonzalez.14,https://www.instagram.com/francogonzalezsilvia/,https://twitter.com/silviafranco0,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=30&idLegislatura=XV&mostrarAgenda=false
31,Andrea Fernández Benéitez,True,True,,,https://twitter.com/afernb,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=31&idLegislatura=XV&mostrarAgenda=false
32,Celso Luis Delgado Arce,True,True,,,https://twitter.com/CelsoDelgadoOU,http://www.celsodelgado.gal/,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=32&idLegislatura=XV&mostrarAgenda=false
33,Noemí Santana Perera,True,True,https://www.facebook.com/noemipmp,https://www.instagram.com/noemipmp/,https://twitter.com/noepmp,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=33&idLegislatura=XV&mostrarAgenda=false
34,Elvira Velasco Morillo,True,True,,,https://twitter.com/Evelascomorillo,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=34&idLegislatura=XV&mostrarAgenda=false
35,José Zaragoza Alonso,True,True,https://www.facebook.com/JoseZaragozaAlonso,https://www.instagram.com/_josezaragoza_/,https://twitter.com/j_zaragoza_,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=35&idLegislatura=XV&mostrarAgenda=false
36,Pedro Luis Huguet Tous,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=36&idLegislatura=XV&mostrarAgenda=false
37,Antonio Hernando Vera,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=37&idLegislatura=XV&mostrarAgenda=false
38,Cristina Valido García,True,True,,,https://twitter.com/CristinaValido,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=38&idLegislatura=XV&mostrarAgenda=false
