metadata_deputy_id,personal_apellidos,personal_nombre,personal_circunscripcion,personal_fecha_eleccion,metadata_tipo_declaracion,seccion,item_index,actividad_periodo,actividad_empleador,actividad_sector,actividad_descripcion,donacion_benefactor,donacion_descripcion,fundacion_destinatario,fundacion_descripcion,otros_texto,firma_fecha,metadata_archivo_origen
000173,Martín Blanco,Nacho,Barcelona,8 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"1. Declaración de Actividades, de 8 de agosto de 2023
2. Declaración de Actividades, de 22 de enero de 2025

* La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG.

* Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2.",,deputy_000173_interests_registro_intereses_diputado_173.pdf
000174,De Luna Tobarra,Llanos,Barcelona,8 de agosto de 2023,,actividades,0.0,,Cuerpo Superior de Técnicos de la Administración de la Seguridad Social,,"Funcionaria de carrera del Cuerpo Superior de Técnicos de la Administración de la Seguridad Social, en situación de servicios especiales, percibiendo el correspondiente complemento por antigüedad.",,,,,,,deputy_000174_interests_registro_intereses_diputado_174.pdf
000174,De Luna Tobarra,Llanos,Barcelona,8 de agosto de 2023,,actividades,1.0,,PP de Cataluña,,"Coordinadora de Acción Política del PP de Cataluña, sin retribución.",,,,,,,deputy_000174_interests_registro_intereses_diputado_174.pdf
000175,Belmonte Gómez,Rafael Benigno,Sevilla,8 de agosto de 2023,,actividades,0.0,,Comité Ejecutivo Provincial del PP de Sevilla,Cargos en partidos ó grupos parlamentarios,"Miembro del Comité Ejecutivo Provincial del PP de Sevilla, sin remuneración.",,,,,,,deputy_000175_interests_registro_intereses_diputado_175.pdf
000175,Belmonte Gómez,Rafael Benigno,Sevilla,8 de agosto de 2023,,actividades,1.0,,Junta Directiva Provincial del PP de Sevilla,Cargos en partidos ó grupos parlamentarios,"Miembro de la Junta Directiva Provincial del PP de Sevilla, sin remuneración.",,,,,,,deputy_000175_interests_registro_intereses_diputado_175.pdf
000175,Belmonte Gómez,Rafael Benigno,Sevilla,8 de agosto de 2023,,actividades,2.0,,Colegio de Sevilla,Actividades privadas autorizadas,Abogado en ejercicio del Colegio de Sevilla.,,,,,,,deputy_000175_interests_registro_intereses_diputado_175.pdf
000176,Rojo Blas,Alberto,Guadalajara,8 de agosto de 2023,,actividades,0.0,,Ayuntamiento de Guadalajara,,"Concejal del Ayuntamiento de Guadalajara, desde el 8 de agosto no percibe remuneración alguna, ni siquiera en concepto de dietas o asistencia a plenos.",,,,,,,deputy_000176_interests_registro_intereses_diputado_176.pdf
000176,Rojo Blas,Alberto,Guadalajara,8 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2",,deputy_000176_interests_registro_intereses_diputado_176.pdf
000177,Sánchez Torregrosa,Maribel,Almería,8 de agosto de 2023,,,,,,,,,,,,,,deputy_000177_interests_registro_intereses_diputado_177.pdf
000178,Nasarre Oliva,Begoña,Huesca,8 de agosto de 2023,,actividades,0.0,,Ayuntamiento de Alcolea de Cinca,Cargos públicos,"Alcaldesa del Ayuntamiento de Alcolea de Cinca (Huesca) sin dedicación exclusiva y sin remuneración, dietas o indemnizaciones.",,,,,,,deputy_000178_interests_registro_intereses_diputado_178.pdf
